ingredient,category,reason
mixed-spices,Unknown,Not found in rulebook
milk-filling,Unknown,Not found in rulebook
extract,Unknown,Not found in rulebook
syrup,Unknown,Not found in rulebook
e904,Unknown,Not found in rulebook
brie,Unknown,Not found in rulebook
e428,Unknown,Not found in rulebook
sour-cream,Unknown,Not found in rulebook
enzyme,Unknown,Not found in rulebook
wheat-gluten,Unknown,Not found in rulebook
e466,Unknown,Not found in rulebook
pineapple,Unknown,Not found in rulebook
soya-bean,Unknown,Not found in rulebook
fr:pa-rika-curcuma,Unknown,Not found in rulebook
whey-protein,Unknown,Not found in rulebook
fat-reduced-cocoa,Unknown,Not found in rulebook
green-tea,Unknown,Not found in rulebook
phylloquinone,Unknown,Not found in rulebook
fr:bipanc-d-oeuf-en-poudre,Unknown,Not found in rulebook
instant-starch,Unknown,Not found in rulebook
yeast-extract,Unknown,Not found in rulebook
tapioca-dextrin,Unknown,Not found in rulebook
e905,Unknown,Not found in rulebook
barley,Unknown,Not found in rulebook
molasses,Unknown,Not found in rulebook
e127,Unknown,Not found in rulebook
sweet-whey-powder,Unknown,Not found in rulebook
wholemeal-rye-flour,Unknown,Not found in rulebook
brown-rice-syrup,Unknown,Not found in rulebook
whey,Unknown,Not found in rulebook
cyanocobalamin,Unknown,Not found in rulebook
fruit,Unknown,Not found in rulebook
glucose,Unknown,Not found in rulebook
natural-vanilla-extract,Unknown,Not found in rulebook
e1103,Unknown,Not found in rulebook
natural-flavouring,Unknown,Not found in rulebook
coco,Unknown,Not found in rulebook
fuji-apples,Unknown,Not found in rulebook
processed-with-carbon-dioxide-for-popping-effect,Unknown,Not found in rulebook
e224,Unknown,Not found in rulebook
beetroot-juice,Unknown,Not found in rulebook
lentils,Unknown,Not found in rulebook
bourbon-vanilla-extract,Unknown,Not found in rulebook
corn-syrup,Unknown,Not found in rulebook
preservative,Unknown,Not found in rulebook
e211,Unknown,Not found in rulebook
breadcrumbs,Unknown,Not found in rulebook
pea-fiber,Unknown,Not found in rulebook
lactylic-oleate,Unknown,Not found in rulebook
biotin,Unknown,Not found in rulebook
malaceous-fruit,Unknown,Not found in rulebook
e477,Unknown,Not found in rulebook
fig,Unknown,Not found in rulebook
pink-grapefruit-juice,Unknown,Not found in rulebook
tree-nut,Unknown,Not found in rulebook
natural-stabilizer,Unknown,Not found in rulebook
flour,Unknown,Not found in rulebook
made-from-real-wine,Unknown,Not found in rulebook
deltalactone,Unknown,Not found in rulebook
cow-cheese,Unknown,Not found in rulebook
malted-wheat-flour,Unknown,Not found in rulebook
uva-ursi,Unknown,Not found in rulebook
dough,Unknown,Not found in rulebook
barley-malt-extract,Unknown,Not found in rulebook
potato-flour,Unknown,Not found in rulebook
bittersweet-chocolate,Unknown,Not found in rulebook
e965ii,Unknown,Not found in rulebook
e282,Unknown,Not found in rulebook
de:soja-protein-isolat,Unknown,Not found in rulebook
fr:produit-a-ne-pas-congeler,Unknown,Not found in rulebook
whole-egg,Unknown,Not found in rulebook
crustacean,Unknown,Not found in rulebook
natural-cinnamon-flavor,Unknown,Not found in rulebook
vanilla-extract,Unknown,Not found in rulebook
mixed-cheese,Unknown,Not found in rulebook
butter-flavouring,Unknown,Not found in rulebook
cultured-skim-milk,Unknown,Not found in rulebook
vegetable-extract,Unknown,Not found in rulebook
acid,Unknown,Not found in rulebook
e343i,Unknown,Not found in rulebook
psyllium,Unknown,Not found in rulebook
tomato-concentrate,Unknown,Not found in rulebook
pantothenic-acid,Unknown,Not found in rulebook
monodiglycerides-with-propionic-acid,Unknown,Not found in rulebook
fructooligosaccharide,Unknown,Not found in rulebook
folic-acid,Unknown,Not found in rulebook
honey,Unknown,Not found in rulebook
carnuba-wax,Unknown,Not found in rulebook
palm-kernal-oil,Unknown,Not found in rulebook
vanillian-an-artificial-flavor,Unknown,Not found in rulebook
extra-virgin-olive-oil,Unknown,Not found in rulebook
vanillin,Unknown,Not found in rulebook
buttermilk-powder,Unknown,Not found in rulebook
black-sesame,Unknown,Not found in rulebook
sodium,Unknown,Not found in rulebook
includes-beet-juice-beta-carotene,Unknown,Not found in rulebook
e529,Unknown,Not found in rulebook
e101,Unknown,Not found in rulebook
contains-2-and-less-of,Unknown,Not found in rulebook
cocoa-butter,Unknown,Not found in rulebook
brown-cane-sugar,Unknown,Not found in rulebook
e509,Unknown,Not found in rulebook
sulfur-dioxide-as-a-preservative-to-promote-color-retention,Unknown,Not found in rulebook
cocoa-processed-with-alkali,Unknown,Not found in rulebook
e280,Unknown,Not found in rulebook
sourdough,Unknown,Not found in rulebook
vitamin-a,Unknown,Not found in rulebook
e924,Unknown,Not found in rulebook
pitted-red-tart-cherries,Unknown,Not found in rulebook
fruit-vegetable,Unknown,Not found in rulebook
turmeric-oil,Unknown,Not found in rulebook
oil-and-fat,Unknown,Not found in rulebook
includes-vegetable-juice,Unknown,Not found in rulebook
artificial-strawberry-flavoring,Unknown,Not found in rulebook
rapeseed-oil,Unknown,Not found in rulebook
e221,Unknown,Not found in rulebook
antioxidant,Unknown,Not found in rulebook
ammonium-carbona,Unknown,Not found in rulebook
eucalyptus-licorice-ginger-elder-mullein-cinnamon-orange-blossom,Unknown,Not found in rulebook
selenium,Unknown,Not found in rulebook
tuber,Unknown,Not found in rulebook
seed,Unknown,Not found in rulebook
baking-blend,Unknown,Not found in rulebook
an-emulafier,Unknown,Not found in rulebook
only-the-best,Unknown,Not found in rulebook
leaf-vegetable,Unknown,Not found in rulebook
sugarcane,Unknown,Not found in rulebook
protein,Unknown,Not found in rulebook
humectant,Unknown,Not found in rulebook
glucose-fruc,Unknown,Not found in rulebook
isomalto-oligosaccharide,Unknown,Not found in rulebook
cream-cheese,Unknown,Not found in rulebook
sauce,Unknown,Not found in rulebook
tapioca,Unknown,Not found in rulebook
safflower-oil,Unknown,Not found in rulebook
raspberry,Unknown,Not found in rulebook
romaine,Unknown,Not found in rulebook
sunflower,Unknown,Not found in rulebook
whey-powder,Unknown,Not found in rulebook
vitamin-d,Unknown,Not found in rulebook
apricot,Unknown,Not found in rulebook
soy-protein-isolate,Unknown,Not found in rulebook
e541,Unknown,Not found in rulebook
fr:sin-azucares-lientes,Unknown,Not found in rulebook
partially-inverted-sugar-syrup,Unknown,Not found in rulebook
garlic,Unknown,Not found in rulebook
stevia-rebaudiana-leaf-extract,Unknown,Not found in rulebook
vanille-extract,Unknown,Not found in rulebook
onion-family-vegetable,Unknown,Not found in rulebook
to-preserve-freshness,Unknown,Not found in rulebook
fortified-wheat-flour,Unknown,Not found in rulebook
milk-protein-concentrate,Unknown,Not found in rulebook
cracker,Unknown,Not found in rulebook
contains-2-and-less-of-the-following,Unknown,Not found in rulebook
paprika-oil,Unknown,Not found in rulebook
and-sugar,Unknown,Not found in rulebook
